county,town,name,address,lat,lon,Food,Drinks,Special_services,In_store_services,Other_products
台北市,大安區,安松,台北市大安區安東街50之2號50之3號50之4號,25.042753,121.5425333,1,1,1,1,1
台北市,大安區,佑安,台北市大安區忠孝東路三段217巷1弄2號,25.0424791,121.5396098,1,1,1,1,1
台北市,大安區,技安,台北市大安區和平東路三段97號97之1號1樓,25.0246205,121.5508307,1,1,1,1,1
台北市,大安區,辛亥,台北市大安區辛亥路二段57號,25.0230713,121.5370553,1,1,1,1,1
台北市,大安區,卓聯,台北市大安區羅斯福路四段1號1樓卓聯大樓,25.0145185,121.53792,1,1,1,,1
台北市,大安區,和平東,台北市大安區和平東路一段129之1號,25.0268103,121.5291554,1,1,1,,1
台北市,大安區,和安,台北市大安區和平東路三段230號,25.0221717,121.5546414,1,1,1,1,1
台北市,大安區,和金,台北市大安區和平東路一段91號,25.027166,121.5258268,1,1,1,1,1
台北市,大安區,和泰,台北市大安區和平東路一段169號,25.0265298,121.5318055,,1,1,,1
台北市,大安區,和樂,台北市大安區和平東路三段228巷45號1樓,25.0206256,121.5532737,1,1,1,1,1
台北市,大安區,延吉,台北市大安區延吉街237號,25.036587,121.5557096,,1,1,1,1
台北市,大安區,昇隆,台北市大安區敦化南路二段238號,25.0209952,121.5482891,1,1,1,1,1
